ahe year bachelor female age
38.4615402222 2008 1 0 33
12.5 2008 1 0 31
9.8571424484 2008 0 0 30
8.2417583466 2008 0 0 30
17.7884616852 2008 0 0 31
10.096154213 2008 0 1 29
17.7884616852 2008 1 0 26
30.3846149445 2008 1 0 28
23.6686382294 2008 1 0 30
12.0192308426 2008 1 1 25
15.8653850555 2008 0 0 26
11.846154213 2008 0 0 25
28.8461532593 2008 0 0 30
9.4409093857 2008 0 0 31
20.1923084259 2008 0 0 32
13.4615383148 2008 0 1 31
13.0341882706 2008 1 1 27
25.6410255432 2008 1 1 31
18.218624115 2008 1 1 32
8.7538461685 2008 1 1 27
12.0192308426 2008 1 0 29
22.4358978271 2008 0 0 34
14.4230766296 2008 0 1 26
13.0769233704 2008 0 0 26
9.3937501907 2008 0 0 28
10.1796875 2008 1 1 25
29.8076915741 2008 1 0 33
32.0512809753 2008 0 0 34
8.653845787 2008 0 0 25
7.2115383148 2008 0 1 32
8.0128202438 2008 1 0 25
15.625 2008 0 1 30
12.9807691574 2008 0 1 29
28.8461532593 2008 1 0 29
34.6153831482 2008 0 0 26
7.6923074722 2008 0 0 30
16.8269233704 2008 0 0 27
19.7115383148 2008 0 0 32
19.764957428 2008 0 1 27
15.3846149445 2008 1 1 27
13.4615383148 2008 0 1 26
8.8942308426 2008 0 0 27
19.7403850555 2008 0 0 31
12.4740123749 2008 0 1 32
16.8278846741 2008 1 0 25
25.6410255432 2008 1 0 34
17.3076915741 2008 0 1 30
17.5213680267 2008 1 0 27
37.5 2008 1 1 27
32.6923065186 2008 1 0 32
27.8846149445 2008 1 1 29
19.2307701111 2008 1 0 33
20.1923084259 2008 0 0 34
26.4423084259 2008 1 1 30
21.6346149445 2008 1 0 33
22.1153850555 2008 1 0 28
24.0384616852 2008 1 0 32
33.6538467407 2008 1 1 34
23.5576915741 2008 1 1 33
15.3846149445 2008 1 1 34
17.3076915741 2008 1 0 33
18.2692298889 2008 0 0 28
4.8076925278 2008 1 0 29
17.7884616852 2008 1 1 28
38.4615402222 2008 1 0 31
40.5982894897 2008 1 0 34
15 2008 1 0 34
21.6346149445 2008 0 0 34
15.8653850555 2008 0 1 29
20.6730766296 2008 0 0 31
21.6346149445 2008 1 1 31
6.9230771065 2008 1 1 28
17.7884616852 2008 1 1 30
10.7879924774 2008 1 1 28
15.5607690811 2008 1 0 34
16.1057701111 2008 0 0 27
11.0946741104 2008 1 0 31
10.7411384583 2008 1 0 29
16.3461532593 2008 0 1 27
15.3846149445 2008 0 1 26
13.4615383148 2008 0 1 30
17.7884616852 2008 1 1 33
16.1799449921 2008 0 1 32
18.5314693451 2008 0 0 32
19.2307701111 2008 1 1 28
28.8461532593 2008 0 0 30
7.2115383148 2008 0 0 27
11.5384616852 2008 0 0 27
11 2008 0 0 30
12.5 2008 0 0 34
10.4757089615 2008 1 1 28
26.6272182465 2008 1 0 30
16.4835166931 2008 0 1 34
4.8076925278 2008 0 1 29
13.3779268265 2008 0 0 26
50.4807701111 2008 1 1 34
19.2307701111 2008 1 1 32
9.6153850555 2008 1 0 32
22.2222213745 2008 1 1 26
15 2008 0 0 34
11.5384616852 2008 0 1 28
13.153845787 2008 0 0 34
28.8461532593 2008 0 0 28
9.7615385056 2008 1 0 28
43.2692298889 2008 1 0 32
18.4911251068 2008 0 0 25
24.0384616852 2008 1 0 30
30.2884616852 2008 1 0 29
26.4423084259 2008 1 0 30
18.0769233704 2008 1 0 34
38.4615402222 2008 1 0 32
38.4615402222 2008 1 0 32
32.0512809753 2008 1 1 30
13.6217947006 2008 0 1 27
16.8269233704 2008 0 0 33
46.1538467407 2008 0 0 32
45 2008 1 0 31
53.0769233704 2008 1 0 33
20.6730766296 2008 1 0 26
24.0520000458 2008 1 0 26
21.2550601959 2008 1 0 29
4.8076925278 2008 1 0 30
20.1923084259 2008 1 1 31
22.2222213745 2008 1 0 30
40.3846168518 2008 1 0 34
12.9370632172 2008 1 0 34
8.0128202438 2008 0 1 30
45.6730766296 2008 1 0 33
12.0192308426 2008 0 1 29
19.2307701111 2008 0 0 33
21.6346149445 2008 0 0 30
14.3692312241 2008 0 0 33
20.1923084259 2008 0 0 28
